loc_rowid,kepid,kepoi_name,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,label
1,11446443,K00001.01,CONFIRMED,2.470613377,0.818,1.74319,14230.9,1339,761.46,4304.3,5820,4.457,-0.06,0.964,0.971,286.80847,49.316399,1
2,10666592,K00002.01,CONFIRMED,2.204735417,0.224,3.88864,6674.7,2048,4148.92,5945.9,6440,4.019,0.14,1.952,1.449,292.24728,47.969521,1
3,10748390,K00003.01,CONFIRMED,4.887803076,0.054,2.36255,4315.8,800,96.67,862.3,4778,4.591,0.32,0.763,0.83,297.70935,48.080853,1
4,3861595,K00004.01,CONFIRMED,3.849371737,0.915,2.632,1298.6,2034,4055.29,132.7,6244,3.657,-0.16,2.992,1.482,294.35654,38.94738,1
5,8554498,K00005.01,CANDIDATE,4.780327581,0.952,2.0253,960.8,1441,1020.05,380.8,5937,4.012,0.16,1.787,1.197,289.73972,44.647419,0
6,3248033,K00006.01,FALSE POSITIVE,1.334101467,0.153,2.1033,120.8,2169,5207.55,43,6178,4.106,0,1.58,1.16,294.59955,38.366772,0
7,11853905,K00007.01,CONFIRMED,3.213668926,0.021,3.98235,727.8,1515,1244.44,346.9,5795,4.101,0.18,1.545,1.097,285.61533,50.13575,1
8,5903312,K00008.01,FALSE POSITIVE,1.16015259,0.748,1.3433,170.2,1751,2229.29,48.4,5842,4.433,-0.1,0.985,0.959,298.66101,41.13789,0
9,11553706,K00009.01,FALSE POSITIVE,3.719809197,1.279,3.5317,2958.2,1873,2912.21,373.9,6284,3.813,-0.2,2.348,1.309,288.80377,49.530788,0
10,6922244,K00010.01,CONFIRMED,3.522498429,0.631,3.19843,9145.7,1521,1264.67,1741.5,6225,4.169,-0.04,1.451,1.132,281.28812,42.45108,1
11,11913073,K00011.01,FALSE POSITIVE,3.747838198,1.121,5.0642,616,1031,266.76,138.2,5514,4.569,-0.04,0.826,0.926,291.06152,50.265129,0
12,5812701,K00012.01,CONFIRMED,17.85522168,0.075,7.41287,9065.2,911,163.04,915.7,6823,4.308,0.07,1.367,1.386,297.45374,41.01099,1
13,9941662,K00013.01,CONFIRMED,1.763587535,0.512,3.16877,4590.6,3559,37958.27,4061.9,9107,3.867,0.07,3.031,2.466,286.97119,46.868359,1
14,7684873,K00014.01,FALSE POSITIVE,2.947376671,2.641,2.0911,433.2,2404,7903.84,62.3,8090,4.002,-0.14,2.234,1.828,292.61194,43.305141,0
15,3964562,K00015.01,FALSE POSITIVE,3.012476582,1.261,3.1424,1138.5,2371,7471.65,253.4,8601,4.137,0.21,2.031,2.063,294.1434,39.089779,0
16,9110357,K00016.01,FALSE POSITIVE,0.895277575,0.928,2.711,534.5,4253,77480.31,132.1,8040,3.707,-0.08,3.325,2.053,298.34421,45.40992,0
17,10874614,K00017.01,CONFIRMED,3.234699282,0.079,3.59385,10558.7,1356,797.62,3003.8,5640,4.236,0.34,1.291,1.047,296.83725,48.239944,1
18,8191672,K00018.01,CONFIRMED,3.548465446,0.075,4.56904,7251.5,1640,1708.28,2486.5,6290,4.074,0.04,1.746,1.319,299.40701,44.035053,1
19,7255336,K00019.01,FALSE POSITIVE,1.20320092,1.274,1.9197,2807.1,2124,4809.16,250.8,6218,4.198,-0.24,1.349,1.045,280.94385,42.839184,0
20,11804465,K00020.01,CONFIRMED,4.437962934,0.069,4.69813,16387.6,1338,757.65,3535.6,5953,4.175,0.08,1.415,1.093,286.24344,50.040379,1
21,10125352,K00021.01,FALSE POSITIVE,4.288515468,1.283,2.2959,3456.7,1722,2081.57,292.1,6378,3.878,-0.56,2.002,1.104,284.73859,47.169628,0
22,9631995,K00022.01,CONFIRMED,7.891448838,0.306,4.2854,10344.6,1028,263.54,1955.1,5972,4.313,0.24,1.237,1.148,282.62967,46.32336,1
